,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,42,38,41,45,50,55,61,59,52,49,53,50,45,44,47,53,58,61,45,40,49,58,40,47,44,50,53,54,39,42,51,58,60,64,65,67,70,66,41,37,44,58,53,51,64,70,49,59,51,43,49,49,52,62,51,55,58,62,54,57,53,49,38,37,44,60,69,74,68,65,70,73,65,53,52,55,58,60,61,64,66,64,68,71,64,64,66,68,66,52
Jacksonville,68,65,68,65,55,56,60,63,58,46,56,62,65,53,50,52,55,58,64,57,43,58,64,64,51,49,52,52,54,39,49,56,58,59,58,61,68,69,71,58,61,66,69,55,59,62,65,66,68,64,68,69,69,69,71,61,67,64,64,62,61,59,65,53,48,56,67,70,75,76,66,68,71,74,65,59,62,61,61,65,64,64,69,72,68,59,64,66,69,73
Fort Worth,36,32,37,45,51,55,61,56,48,46,47,46,43,40,45,54,52,57,37,37,46,55,39,46,40,44,48,51,37,40,45,54,57,63,64,67,69,63,37,34,38,56,48,49,63,64,45,49,42,39,43,47,47,58,46,53,54,57,46,53,49,46,34,35,43,57,71,71,59,55,61,67,59,50,52,57,58,60,59,63,63,63,70,65,61,62,64,65,61,50
Columbus,39,30,31,35,37,36,45,47,31,32,31,32,31,28,24,32,30,35,32,13,-1,25,42,27,11,21,27,36,19,0,4,23,31,43,48,42,56,53,31,25,29,35,47,31,42,36,30,31,30,31,39,37,37,46,42,33,33,30,30,35,31,27,21,16,18,27,33,41,44,42,43,45,63,44,39,38,37,41,46,48,42,42,47,45,40,46,53,54,52,34
Charlotte,62,50,49,53,49,53,49,56,48,41,37,37,36,38,42,44,44,48,50,49,29,33,41,55,38,36,42,41,46,32,31,40,48,52,54,59,67,68,65,45,40,47,57,51,51,57,50,42,54,41,39,49,51,46,61,53,51,52,49,47,49,41,44,40,37,45,42,47,61,58,53,57,65,65,51,51,51,47,46,54,53,55,60,61,53,48,59,62,67,60
San Francisco,48,46,48,49,51,53,55,54,54,52,54,52,54,52,52,54,53,54,56,52,52,52,52,54,54,56,57,56,54,55,55,53,54,53,48,47,48,48,48,50,49,50,50,55,53,50,49,48,49,48,50,50,49,51,51,52,54,55,58,55,54,55,55,52,55,51,51,49,53,55,55,55,55,58,62,62,65,62,56,58,55,56,59,57,59,56,57,58,60,63
Indianapolis,32,25,30,37,38,37,42,42,31,31,31,32,31,21,30,31,31,31,29,9,3,28,35,22,9,19,20,29,9,-4,1,27,34,46,50,35,52,57,23,22,29,34,41,29,40,27,28,31,29,28,37,34,36,44,36,31,31,30,29,34,28,22,14,16,20,28,34,39,39,40,44,51,59,41,38,40,40,43,43,43,42,46,45,45,42,46,53,54,49,36
Seattle,37,42,49,43,42,42,42,41,47,50,48,46,43,45,44,44,48,45,49,45,43,44,47,45,46,46,43,45,44,44,46,48,44,40,29,28,30,33,34,33,29,33,37,35,37,39,37,37,36,39,38,38,39,41,38,36,36,40,41,42,41,42,40,40,38,37,41,41,46,44,44,45,49,53,55,56,61,63,66,58,56,55,56,53,53,55,58,57,60,54
Denver,10,27,37,45,42,43,41,40,40,43,31,30,28,31,32,35,38,32,31,40,37,24,27,23,27,29,37,21,22,29,32,35,39,44,37,41,32,14,27,33,31,29,35,44,47,40,32,23,16,16,25,25,24,27,29,35,40,33,42,37,26,8,14,22,30,39,41,37,33,40,51,32,26,33,38,40,42,36,45,47,47,46,46,48,55,59,58,50,33,40
Washington,57,41,42,43,46,46,40,52,43,38,36,32,34,31,35,36,31,40,37,37,16,24,43,49,33,31,38,34,38,26,18,27,34,42,46,53,47,60,61,34,33,40,38,43,46,54,39,37,45,37,34,46,41,42,55,42,42,39,38,41,40,36,34,36,27,34,38,41,57,54,45,50,61,65,48,47,44,45,49,49,47,44,53,55,45,50,53,64,67,50
Boston,49,27,33,37,40,40,29,39,36,30,23,22,24,25,29,34,26,36,26,34,8,18,37,50,35,24,34,29,34,27,13,15,25,34,45,50,35,35,50,26,29,31,26,41,36,46,37,31,31,26,27,40,36,35,43,36,24,22,26,32,32,31,34,22,19,19,25,32,33,39,36,38,45,53,45,37,38,38,44,46,40,43,49,44,39,40,45,49,59,48
El Paso,41,31,37,37,42,50,49,47,48,53,54,48,50,48,53,56,54,55,47,48,59,48,43,47,46,47,47,52,45,51,57,57,56,59,60,59,55,41,47,51,53,53,46,54,61,66,59,49,51,40,42,52,55,46,49,56,59,60,62,64,61,63,54,53,58,67,66,52,60,63,64,50,48,48,45,50,56,59,59,62,62,60,64,66,68,72,73,70,64,54
Nashville,46,39,43,50,44,49,54,55,40,34,37,42,42,37,36,45,46,45,55,27,27,41,47,35,23,34,40,46,23,21,27,40,50,55,58,59,65,67,36,35,45,55,57,44,51,46,41,51,36,38,54,49,49,64,54,42,47,48,42,47,42,42,26,29,32,40,45,59,54,52,52,63,67,48,47,50,46,50,53,51,52,52,57,60,47,55,60,62,62,43
Detroit,30,24,26,32,38,32,38,40,27,28,23,29,25,27,31,28,26,30,21,8,6,21,34,24,13,11,15,18,10,-7,-6,4,26,40,44,32,32,37,25,18,25,28,35,27,35,28,23,22,23,21,27,34,29,36,38,28,20,22,26,25,22,18,16,16,17,23,28,32,40,35,37,38,52,42,34,33,36,39,41,45,37,38,45,37,37,42,52,40,38,31
Oklahoma City,24,27,31,37,42,49,54,49,40,41,42,39,38,41,43,45,45,49,27,31,44,45,33,36,31,38,43,40,31,31,34,46,53,58,55,52,66,44,31,31,37,46,42,48,55,36,29,38,28,31,35,41,40,49,42,45,46,39,36,43,38,32,23,31,39,52,54,64,44,47,56,61,52,45,49,55,56,58,54,56,60,60,65,57,56,61,66,66,51,45
Portland,34,37,44,41,40,40,43,40,45,45,45,44,40,39,37,39,44,44,47,43,44,45,46,43,40,40,41,43,40,41,43,44,45,39,34,31,36,38,38,27,27,37,35,37,35,41,40,37,35,38,37,36,35,38,38,33,32,36,39,40,38,39,37,40,39,39,37,41,43,48,45,45,50,54,55,58,60,64,65,53,52,51,56,51,53,52,56,56,59,55
Las Vegas,41,41,44,48,48,50,53,51,53,53,51,49,49,49,47,54,57,55,52,52,54,49,48,53,52,53,55,57,58,58,56,59,57,56,54,49,41,40,40,49,51,45,47,51,50,55,51,46,46,43,43,39,43,42,42,48,51,53,60,59,61,61,60,64,60,58,51,52,53,55,58,52,51,54,59,63,65,66,65,56,59,63,62,66,72,70,66,64,66,67
Memphis,44,35,43,45,45,49,57,53,42,37,39,44,40,38,41,47,49,50,51,28,33,44,40,35,26,37,43,47,26,26,36,47,55,58,64,64,67,68,36,38,46,58,55,47,53,46,42,50,40,40,51,45,51,67,51,48,51,54,42,40,46,41,31,29,32,45,50,58,57,52,53,60,65,49,50,55,50,52,55,53,57,59,61,62,52,57,64,65,65,47
Louisville,44,40,40,45,43,46,54,53,39,33,36,37,36,33,33,39,41,40,44,19,20,36,45,31,19,32,35,43,21,9,17,35,41,54,54,51,60,63,30,30,36,43,54,37,48,39,35,40,34,37,46,42,46,55,45,41,39,39,37,42,34,31,23,22,26,33,37,46,46,46,46,57,65,44,43,46,44,48,51,48,46,49,51,49,43,50,60,55,55,39
Baltimore,53,40,40,43,45,45,38,48,41,38,35,30,32,30,34,36,31,39,36,36,15,23,41,47,32,29,37,34,37,25,17,22,31,39,40,49,43,51,56,33,32,36,35,40,42,51,38,36,44,35,35,44,42,42,53,42,40,37,36,39,39,34,32,29,25,33,36,40,52,50,41,45,54,60,46,43,39,42,46,47,47,44,51,49,42,44,49,59,63,48
Milwaukee,25,20,28,34,35,30,41,34,25,23,30,31,30,31,33,27,30,25,22,13,14,25,25,16,0,4,3,22,0,-14,-9,11,33,40,43,22,30,38,9,11,27,26,31,23,36,16,20,23,23,19,29,26,28,34,32,10,13,20,19,23,20,16,3,11,14,20,24,28,31,28,33,39,53,37,33,35,35,38,40,40,37,41,40,34,40,44,49,41,37,34
Albuquerque,19,20,18,25,29,33,32,34,34,36,36,35,33,35,36,35,36,40,34,38,42,33,31,33,31,36,37,41,32,35,39,41,44,46,46,48,39,31,34,41,42,37,37,42,46,51,44,37,36,30,30,34,40,30,33,36,40,43,43,46,47,50,46,46,46,55,55,43,51,52,56,42,39,40,46,48,50,52,49,53,51,50,55,56,61,65,65,59,53,43
Tucson,42,36,41,48,51,48,51,54,57,55,52,52,53,54,54,54,54,52,52,57,56,47,47,50,53,51,57,57,55,58,58,58,59,55,53,54,47,49,50,51,52,46,52,58,60,62,52,49,45,42,43,45,40,38,42,51,54,56,59,60,64,61,60,61,70,67,61,55,60,55,53,51,51,58,61,61,65,69,70,62,59,65,68,69,77,76,75,70,70,69
Fresno,45,45,47,49,49,50,52,54,54,51,54,52,51,50,51,54,53,54,53,54,49,49,50,51,51,54,54,55,56,56,57,54,54,54,49,45,44,47,51,48,47,46,49,53,58,51,48,44,46,45,45,45,45,50,51,53,56,58,59,54,57,60,56,55,60,56,53,53,52,52,54,53,58,59,63,67,70,69,60,58,59,58,59,66,65,63,62,59,59,64
Mesa,43,39,42,47,50,50,51,54,57,58,54,53,54,56,56,53,56,56,55,57,56,50,49,51,55,56,57,57,56,59,61,61,60,58,55,56,51,54,51,51,50,49,52,57,55,60,54,50,48,46,44,47,44,45,47,52,56,59,62,62,64,62,63,72,75,69,61,59,64,63,57,58,59,64,66,68,73,73,75,65,63,68,73,77,77,77,78,73,77,74
Sacramento,45,44,45,46,49,49,50,52,53,51,53,51,49,49,49,52,52,50,53,51,49,47,49,48,49,51,54,53,55,55,56,53,54,51,46,43,46,46,48,47,46,47,48,51,54,49,49,46,47,45,47,47,47,49,50,49,52,55,56,54,54,54,57,51,55,52,50,46,53,56,56,51,54,57,63,62,66,64,56,58,54,59,57,56,56,56,57,58,59,63
Atlanta,58,52,51,54,48,52,51,54,44,35,41,39,41,42,42,43,46,53,56,38,32,36,49,40,34,36,40,44,35,31,36,41,49,51,53,60,60,67,54,45,40,50,61,47,49,56,58,52,52,41,44,55,55,54,59,49,51,54,50,50,48,46,42,38,37,50,55,59,61,63,62,61,64,59,53,58,54,52,57,55,54,64,65,62,57,55,60,65,69,60
Kansas City,18,22,33,38,44,44,51,43,32,33,38,36,31,33,36,32,33,28,19,18,31,38,26,22,22,22,27,25,18,7,21,34,47,54,42,28,34,28,17,22,33,34,29,40,42,18,20,27,22,24,32,30,36,39,30,28,37,27,27,34,19,16,9,18,26,35,37,54,39,42,48,57,46,41,46,43,48,45,49,47,53,53,57,49,51,58,60,51,45,44
Colorado Springs,10,26,37,42,43,46,43,37,37,43,35,33,31,37,39,37,42,38,34,43,48,27,31,29,33,34,41,25,26,28,35,38,42,47,46,42,36,23,27,36,33,33,36,45,56,42,38,29,11,14,21,24,28,27,28,34,38,38,42,45,27,10,14,19,34,44,46,38,33,41,49,38,32,36,42,44,41,39,46,45,48,47,47,49,53,61,62,49,35,37
Omaha,9,18,31,36,36,35,38,36,27,29,35,31,32,33,30,27,24,20,8,10,19,22,17,15,17,19,18,11,8,-5,9,23,37,46,21,17,21,11,3,20,25,23,20,22,23,10,10,18,13,9,22,14,27,28,18,11,14,9,14,13,1,3,3,12,18,26,28,36,28,30,39,53,42,37,42,39,38,44,45,44,46,45,49,44,48,58,50,47,39,40
Raleigh,63,48,48,51,50,54,49,54,47,41,37,40,35,36,38,42,41,49,48,49,26,32,47,58,41,36,41,40,45,31,29,37,45,50,54,58,65,69,65,41,40,45,56,50,51,58,46,41,53,40,39,49,48,45,63,51,51,52,48,44,50,40,45,40,34,44,43,44,66,60,52,56,64,68,51,52,52,47,41,51,54,52,59,65,50,48,58,62,65,56
Miami,76,77,76,73,71,67,71,74,71,63,68,72,73,71,65,67,69,71,72,71,58,66,72,73,63,64,69,61,62,60,67,69,70,70,71,72,74,74,75,74,75,75,77,72,73,74,73,76,76,76,78,78,78,78,78,76,76,78,74,75,74,75,80,77,68,69,73,76,78,77,76,76,76,77,78,79,75,71,74,73,70,72,75,76,78,75,74,74,76,77
Long Beach,54,55,56,54,55,56,56,59,57,57,56,57,56,55,56,57,58,58,63,60,58,57,58,60,63,68,62,61,60,58,58,57,56,57,54,51,56,61,63,54,52,52,54,54,59,56,54,51,50,51,52,51,50,53,56,56,57,58,62,60,58,58,60,64,59,61,58,58,56,61,63,64,68,68,75,78,75,70,64,61,62,63,65,70,68,66,65,67,74,80
Virginia Beach,55,46,46,50,51,48,45,47,45,41,38,41,42,39,40,44,42,44,46,46,29,31,49,52,39,37,43,41,45,32,30,35,40,45,50,51,47,54,54,37,39,46,52,48,45,52,40,43,48,39,45,50,45,48,55,47,42,43,41,45,43,37,39,34,30,36,44,42,55,48,42,45,49,55,46,42,47,42,47,52,49,44,49,54,44,45,48,52,53,49
Oakland,48,46,48,49,51,53,55,54,54,52,54,52,54,52,52,54,53,54,56,52,52,52,52,54,54,56,57,56,54,55,55,53,54,53,48,47,48,48,48,50,49,50,50,55,53,50,49,48,49,48,50,50,49,51,51,52,54,55,58,55,54,55,55,52,55,51,51,49,53,55,55,55,55,58,62,62,65,62,56,58,55,56,59,57,59,56,57,58,60,63
Minneapolis,5,17,30,31,33,26,30,27,12,18,28,29,29,32,31,18,21,13,6,4,12,18,16,4,-1,6,-1,7,-11,-20,-16,8,29,36,20,8,20,22,-8,1,13,19,18,12,21,5,9,19,11,7,23,17,20,28,21,3,3,6,8,13,5,0,-1,6,11,10,21,32,25,18,32,37,37,29,25,29,32,38,37,35,39,45,42,37,42,56,43,40,33,39
Tulsa,27,27,31,39,41,49,58,49,41,39,41,38,39,39,43,46,46,49,27,26,42,49,30,35,27,36,41,38,30,27,29,46,54,58,56,45,66,46,29,31,38,42,41,49,55,34,32,36,30,32,36,41,41,52,41,44,46,39,36,43,36,29,21,29,36,45,54,66,45,49,54,63,52,44,49,55,57,58,54,53,57,56,65,52,56,59,64,62,51,45
Tampa,72,72,72,69,65,61,65,68,63,54,60,69,67,63,56,58,59,64,69,62,49,65,69,66,55,54,52,55,59,50,57,64,67,69,69,71,71,73,73,70,74,75,76,63,63,69,72,76,78,78,80,77,77,78,77,72,73,72,72,72,69,70,74,61,54,62,69,74,76,78,72,74,75,77,76,68,65,63,67,67,67,68,73,74,74,67,70,71,73,76
Arlington,36,33,37,45,49,55,58,55,48,45,45,47,42,41,45,53,54,58,36,35,45,55,37,43,38,44,46,49,34,39,45,54,58,62,64,67,68,64,37,34,38,54,48,49,63,64,41,49,40,37,44,46,47,57,47,51,53,56,45,51,49,46,31,34,42,56,70,71,59,55,60,67,60,51,51,56,58,60,59,63,63,62,69,65,60,61,64,65,61,50
New Orleans,59,63,58,51,53,57,61,63,56,49,57,63,52,49,49,53,60,64,63,41,47,60,59,47,48,49,53,54,43,41,53,57,58,61,65,67,75,73,54,53,63,67,62,55,61,67,68,71,58,62,72,71,72,72,62,60,63,65,63,61,61,61,47,43,47,59,70,75,77,79,70,76,80,58,51,56,61,61,61,62,67,68,71,74,64,64,69,69,73,64
