,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December,,,,,,,,October,,,,,,,,,,,,,,,,,,,,,,,
Austin,83,84,84,82,83,85,70,71,75,84,54,59,66,77,84,64,63,66,80,78,72,66,69,72,54,58,64,68,59,51,43,,48,55,57,66,68,73,64,48,55,61,65,36,38,41,48,52,57,61,65,70,72,60,54,58,65,71,55,53,66,75,,55,52,56,59,62,62,56,62,72,45,45,50,61,60,69,59,43,47,47,49,53,50,55,57,60,64,65,68,59,51,50
Jacksonville,82,82,82,82,82,80,77,79,78,78,77,77,78,79,77,82,71,72,76,79,80,83,70,77,79,81,82,78,80,81,82,,63,67,68,74,77,75,77,67,65,62,70,73,55,65,66,56,57,63,62,63,66,69,70,61,60,64,70,66,65,68,,73,55,50,55,59,65,64,67,71,72,62,64,70,68,62,69,73,52,56,62,66,65,64,63,63,65,68,69,70,73,59
Fort Worth,80,83,84,79,81,84,67,69,71,80,52,55,64,67,79,61,62,63,74,75,66,67,66,64,52,56,62,62,49,46,41,,46,51,54,63,62,70,55,47,55,61,55,33,38,44,51,51,55,59,66,67,70,52,48,56,63,68,47,47,57,68,,49,48,55,58,59,55,52,60,67,40,45,46,54,55,63,44,38,47,46,45,48,50,55,55,58,61,64,62,49,45,49
Columbus,81,80,79,59,61,71,58,60,64,67,65,48,53,54,60,49,50,54,55,62,63,56,53,58,56,52,56,58,59,55,58,,38,41,42,47,47,45,40,32,36,44,48,23,23,32,32,37,40,44,43,44,47,43,38,40,45,47,53,37,36,40,,49,37,34,38,38,43,37,42,51,32,30,32,40,41,32,34,31,22,25,29,36,41,47,45,46,50,56,47,56,44,33
Charlotte,79,84,88,85,65,71,74,67,69,68,75,74,69,72,68,65,59,64,57,65,66,71,63,65,67,68,77,68,67,66,75,,50,55,51,54,63,59,61,44,43,51,56,46,35,37,44,42,46,44,49,52,52,57,54,51,54,54,57,53,49,52,,61,45,43,49,51,52,50,44,51,63,43,40,40,52,50,57,63,40,39,45,42,42,47,56,49,53,57,60,63,62,49
San Francisco,62,65,62,63,72,73,74,69,64,65,67,69,64,65,66,61,62,61,62,63,69,73,73,77,75,69,64,60,63,59,64,,65,67,68,68,69,63,68,66,66,63,68,67,63,57,59,63,69,66,58,60,56,58,60,61,55,50,50,47,48,48,,55,58,58,54,56,58,59,58,59,55,58,60,56,53,51,51,51,53,56,56,56,53,51,49,50,51,51,52,53,54,54
Indianapolis,80,81,76,60,61,66,64,64,65,68,63,46,54,55,60,47,51,54,57,64,62,51,54,57,54,53,57,59,55,47,42,,38,41,44,49,45,46,37,31,37,43,37,17,20,29,34,36,39,39,40,44,49,40,35,39,45,46,46,35,39,40,,39,34,34,39,41,43,38,43,52,27,29,34,38,38,29,31,29,21,22,28,33,37,45,44,47,56,52,47,59,36,31
Seattle,58,58,58,57,58,59,59,49,50,52,57,55,57,56,55,54,55,52,51,48,51,57,52,56,53,50,49,48,45,45,46,,48,50,51,52,50,50,51,52,51,53,51,48,51,51,52,51,55,50,49,46,47,45,44,49,45,39,39,37,38,39,,37,43,45,46,47,48,48,48,45,42,45,45,44,43,40,38,42,43,44,49,44,42,43,39,39,38,40,42,44,46,48
Denver,60,60,57,67,57,53,61,63,65,25,36,51,57,60,52,62,66,57,51,44,42,49,51,31,45,56,25,20,13,11,31,,29,40,45,40,48,43,42,54,59,55,22,44,48,44,53,52,46,53,53,43,27,29,37,44,37,20,16,26,32,28,,29,39,43,40,35,36,41,39,28,35,38,39,37,33,25,26,27,38,36,37,43,44,45,43,40,35,33,23,21,23,27
Washington,75,87,76,70,60,69,75,60,60,64,65,65,63,70,69,59,55,56,61,54,63,61,62,66,63,62,73,67,64,63,72,,49,55,50,53,57,56,55,40,40,48,58,43,35,39,45,41,41,44,50,47,48,51,42,47,50,53,57,45,43,41,,45,43,41,43,41,44,42,40,45,56,36,37,40,49,45,35,52,36,29,36,35,41,47,47,46,49,48,55,51,66,48
Boston,64,70,53,60,52,60,72,60,57,54,54,56,61,61,58,58,51,54,53,57,56,55,63,59,59,55,52,54,55,62,65,,52,49,48,48,57,48,52,35,36,45,45,47,27,33,44,33,41,41,43,41,42,49,39,46,46,49,49,44,38,34,,33,41,31,32,36,33,29,28,46,55,30,28,37,53,43,34,34,32,19,24,29,35,40,37,36,38,42,42,38,37,44
El Paso,71,73,77,74,77,79,65,72,76,73,55,58,71,69,73,64,67,72,68,69,64,67,71,61,49,58,67,66,64,54,49,,58,50,60,68,69,67,61,52,59,66,61,40,49,54,52,57,59,61,65,62,60,53,54,56,58,57,42,54,58,46,,47,53,53,57,58,54,57,61,49,51,50,51,56,58,58,47,38,40,43,45,49,48,50,53,49,51,52,42,36,41,42
Nashville,85,86,86,73,76,73,61,63,71,70,70,55,61,66,68,57,55,59,60,67,68,57,59,63,57,68,62,64,63,61,45,,46,47,51,52,54,56,52,37,44,51,54,22,34,41,40,42,46,47,49,52,53,52,52,44,50,54,54,43,47,54,,47,37,39,46,50,48,49,50,60,33,37,43,44,46,45,60,37,36,39,42,47,50,54,54,57,56,59,60,66,44,40
Detroit,79,66,65,56,56,65,64,64,63,63,64,47,55,48,55,51,49,52,55,60,61,53,53,55,53,49,57,55,58,45,49,,38,41,40,49,42,40,35,34,36,42,32,22,18,28,29,28,33,38,38,40,44,37,37,39,41,44,49,36,36,36,,42,35,33,35,34,38,33,39,47,30,24,29,36,37,30,32,31,21,23,30,35,38,43,36,41,48,47,39,46,43,31
Oklahoma City,80,82,70,65,74,63,61,63,68,76,47,52,60,66,72,56,61,61,63,67,60,60,64,48,44,53,59,48,36,37,38,,45,47,51,56,54,61,39,41,53,60,35,28,38,42,47,50,53,57,60,62,56,40,43,53,53,60,41,39,48,55,,43,41,49,52,58,46,46,55,52,39,41,46,48,45,45,31,35,41,44,47,46,46,48,53,57,59,47,59,41,41,41
Portland,56,56,56,55,57,61,60,51,51,52,55,55,58,55,58,54,53,52,51,50,53,58,54,59,55,49,51,47,40,41,46,,49,52,52,54,51,52,53,56,51,55,55,48,54,52,51,50,52,51,50,49,46,46,45,48,44,39,37,35,37,36,,35,44,44,46,48,47,47,46,46,42,47,47,45,41,40,43,41,40,45,54,47,43,42,38,40,39,40,41,41,42,44
Las Vegas,71,72,78,78,74,77,77,82,79,59,60,67,73,73,76,78,79,70,73,67,72,73,76,67,68,75,60,49,55,45,51,,60,61,67,67,68,68,68,69,67,68,69,62,66,68,66,67,63,65,68,55,50,51,54,54,55,46,49,47,44,42,,46,51,55,50,52,54,57,58,55,50,51,52,53,53,51,43,40,41,45,48,48,48,50,49,46,44,46,44,39,44,44
Memphis,86,87,88,72,78,80,63,66,72,77,63,56,61,64,69,58,59,61,65,71,72,59,62,64,55,64,64,63,62,59,41,,49,48,53,55,57,59,51,38,45,54,52,23,34,39,41,44,49,49,56,58,57,54,46,47,53,58,50,42,50,63,,46,38,43,50,54,53,48,54,61,33,41,43,45,49,49,50,37,40,43,42,48,49,54,57,60,61,61,63,57,44,42
Louisville,85,85,83,65,68,72,61,63,69,73,70,52,57,61,65,52,53,57,61,67,65,56,57,61,59,60,60,64,60,57,47,,43,45,47,52,50,51,44,34,40,49,50,22,26,34,37,38,42,42,42,49,51,46,42,42,48,51,52,39,41,45,,44,35,36,43,46,46,41,48,56,32,35,39,42,43,36,40,35,29,33,38,44,47,50,51,52,54,55,54,61,41,35
Baltimore,71,85,70,68,59,69,74,60,59,62,61,63,60,66,62,62,55,55,55,56,59,62,61,61,62,61,70,62,62,62,70,,49,50,48,54,57,53,55,40,38,47,54,43,33,40,46,40,40,43,50,47,47,51,41,47,48,50,56,46,41,40,,44,43,40,43,41,44,39,41,47,54,35,33,42,50,45,34,46,35,27,33,34,40,45,44,42,44,46,50,47,59,47
Milwaukee,73,60,58,54,56,57,57,59,59,61,55,43,42,42,51,47,47,49,54,55,58,47,47,45,43,45,48,43,36,40,35,,30,36,39,43,33,32,23,23,33,35,23,14,19,26,30,35,34,36,34,39,48,32,35,40,42,39,40,33,36,35,,37,29,34,34,35,31,35,39,43,18,15,34,33,31,18,27,27,13,25,34,36,41,39,40,44,51,35,37,50,35,26
Albuquerque,72,68,68,66,68,67,59,66,68,60,47,55,62,65,64,61,62,62,58,53,52,54,57,43,44,54,59,48,49,32,36,,47,44,53,57,59,52,48,50,54,56,46,38,46,50,47,50,51,54,56,52,42,41,42,43,44,34,35,34,41,32,,33,40,42,41,46,42,45,47,44,40,40,42,47,48,46,31,29,32,33,33,38,38,40,44,38,39,42,34,27,27,32
Tucson,78,77,80,81,83,84,84,83,80,77,76,75,78,77,78,80,80,73,74,73,75,77,78,75,64,70,72,65,65,61,60,,67,70,71,73,75,73,72,69,71,74,71,62,64,70,67,71,73,70,70,60,55,56,59,63,61,55,58,59,48,49,,57,58,61,66,60,62,64,65,55,56,58,57,64,64,59,51,46,47,50,55,55,57,59,55,51,52,44,45,42,47,50
Fresno,65,70,74,69,73,79,82,82,73,70,72,76,76,73,76,76,69,65,68,68,73,79,78,80,80,79,65,65,64,63,62,,66,68,70,72,74,72,74,73,71,70,71,72,71,70,62,64,68,72,69,57,60,62,61,63,58,51,47,46,49,49,,52,55,57,54,59,60,61,60,58,56,57,61,60,58,51,53,53,56,55,56,60,52,51,52,51,50,49,50,53,52,53
Mesa,82,83,86,88,89,89,89,88,86,82,76,80,83,83,84,85,84,76,79,79,77,82,83,76,70,76,77,66,67,58,64,,71,72,74,78,78,76,79,78,76,78,77,70,72,72,72,74,77,75,72,64,59,60,63,65,65,58,61,62,52,54,,58,59,63,65,62,65,66,64,62,65,62,62,66,66,58,53,51,53,56,59,57,60,61,57,55,55,46,49,47,48,52
Sacramento,68,73,70,67,75,78,81,78,68,70,73,75,73,75,76,71,68,67,68,69,75,78,79,80,80,78,68,65,61,60,64,,67,70,72,73,72,70,73,74,73,70,68,70,67,62,62,66,69,71,63,64,60,61,62,61,57,49,48,48,47,47,,54,55,58,53,57,59,60,58,58,56,56,60,57,55,50,52,50,53,55,55,55,53,51,48,48,49,47,48,49,52,51
Atlanta,82,89,91,92,74,73,77,76,72,73,73,75,72,72,66,69,59,61,53,68,72,69,66,64,61,68,69,72,67,68,66,,53,56,57,54,63,63,61,55,51,60,60,43,40,41,44,54,53,58,53,56,58,59,62,48,56,57,62,54,61,63,,61,41,40,49,55,54,57,48,55,59,46,45,44,50,52,58,57,41,45,46,46,43,53,61,57,56,56,57,66,55,47
Kansas City,79,76,57,54,63,61,64,60,60,66,42,50,55,59,61,50,55,61,55,59,54,53,58,45,48,49,54,42,37,32,32,,42,43,49,49,46,54,34,35,49,51,25,17,31,34,42,44,47,46,52,57,51,36,36,48,49,47,37,31,38,55,,35,34,42,45,48,39,39,46,39,30,38,45,45,32,26,23,24,25,34,37,41,44,45,50,57,49,39,56,42,32,35
Colorado Springs,64,62,53,60,55,52,57,65,66,29,36,51,58,61,54,60,66,61,53,45,45,50,50,31,46,59,30,19,16,12,32,,33,33,50,39,45,49,37,52,58,54,25,41,51,40,53,55,42,51,52,46,29,25,39,46,38,23,19,30,37,32,,33,46,46,43,39,37,47,45,32,34,37,40,40,33,25,22,25,37,34,38,43,46,47,44,41,35,29,26,23,25,30
Omaha,75,57,49,49,60,58,59,60,62,58,38,46,45,51,52,47,54,62,59,57,50,50,55,42,45,46,43,35,35,28,33,,38,41,44,44,38,42,26,35,49,41,19,13,27,30,42,47,48,46,50,52,41,32,37,47,49,36,29,29,35,49,,29,26,41,41,45,31,38,42,23,17,24,38,36,17,19,22,26,25,34,37,38,42,41,45,52,33,34,43,33,26,27
Raleigh,78,85,89,82,64,74,76,67,68,66,70,73,71,74,68,64,57,59,59,66,64,67,63,64,66,69,76,67,68,65,75,,51,58,53,56,64,59,62,45,45,51,57,45,34,41,44,43,45,46,50,51,51,55,48,50,53,55,56,51,47,47,,58,46,43,48,48,51,46,45,53,66,41,39,44,54,51,56,63,41,39,46,41,45,46,54,50,53,58,62,63,68,51
Miami,82,82,82,82,82,82,80,81,82,83,82,80,81,81,81,83,84,84,84,85,84,83,84,83,83,84,84,83,83,83,83,,83,82,82,81,82,81,81,81,76,76,78,81,78,79,77,72,67,69,75,71,74,75,77,80,71,75,78,76,76,75,,77,78,65,71,68,73,74,76,77,79,79,78,78,78,73,78,79,77,71,73,74,75,74,69,73,78,77,78,77,77,75
Long Beach,70,75,72,73,76,78,78,74,69,77,77,77,70,68,77,78,69,71,73,78,83,85,81,87,84,78,68,71,67,68,70,,75,74,73,73,76,72,71,78,81,74,72,74,68,67,65,72,80,80,71,60,62,65,70,70,65,64,58,55,55,58,,62,63,65,61,63,67,65,63,64,64,65,65,68,63,60,63,61,60,64,66,65,63,57,58,56,51,59,58,58,59,64
Virginia Beach,72,77,76,73,66,72,73,70,69,64,63,65,69,68,66,68,59,56,60,69,62,66,63,64,67,66,72,62,66,65,70,,53,54,54,58,65,56,62,46,46,54,58,51,37,49,52,52,56,51,50,51,48,55,49,52,51,54,57,50,44,44,,55,47,44,46,45,51,44,50,58,61,40,42,55,56,49,52,59,41,33,40,43,44,51,49,50,50,53,52,55,60,51
Oakland,62,65,62,63,72,73,74,69,64,65,67,69,64,65,66,61,62,61,62,63,69,73,73,77,75,69,64,60,63,59,64,,65,67,68,68,69,63,68,66,66,63,68,67,63,57,59,63,69,66,58,60,56,58,60,61,55,50,50,47,48,48,,55,58,58,54,56,58,59,58,59,55,58,60,56,53,51,51,51,53,56,56,56,53,51,49,50,51,51,52,53,54,54
Minneapolis,55,52,49,49,52,55,57,61,62,59,37,35,37,41,45,45,48,55,57,57,55,43,41,39,43,47,42,34,35,31,32,,35,34,39,36,29,31,22,23,35,29,17,14,24,22,34,39,36,37,39,39,34,29,34,37,41,35,30,22,29,33,,29,14,27,30,28,13,25,29,19,-3,-7,16,11,4,-5,10,13,0,21,28,28,31,29,32,34,28,22,30,37,28,17
Tulsa,80,81,67,66,71,61,61,63,63,74,48,51,57,63,70,53,58,61,63,66,59,58,62,48,46,53,59,49,38,39,38,,43,47,50,54,53,62,39,39,50,59,34,26,36,40,45,47,51,53,57,59,61,40,40,51,52,61,42,39,44,58,,40,39,45,50,56,45,45,53,51,39,41,45,48,43,44,30,34,40,43,45,47,47,49,52,59,58,48,61,43,41,40
Tampa,82,83,82,81,83,81,83,83,82,81,80,79,80,82,81,82,79,77,79,82,83,83,75,82,82,82,83,84,83,82,82,,75,76,73,78,81,80,80,79,71,70,74,76,63,74,73,64,60,66,68,68,67,70,72,68,62,66,71,75,70,72,,73,63,54,62,62,64,67,71,72,76,76,74,72,72,68,73,77,59,59,67,70,67,66,63,71,73,74,75,75,75,64
Arlington,81,83,84,79,80,84,67,67,71,79,52,54,64,65,79,61,61,62,73,74,66,66,65,64,53,56,61,63,50,47,41,,45,51,53,63,62,70,56,47,54,61,55,33,38,43,50,50,54,58,65,66,70,52,47,55,62,68,47,47,57,68,,49,47,53,57,58,56,53,59,67,41,43,45,53,54,63,44,38,46,46,44,47,49,54,55,57,61,63,64,50,45,48
New Orleans,86,87,87,87,85,84,82,77,81,81,81,68,75,79,82,76,67,66,73,80,75,72,66,68,74,66,68,69,70,77,55,,50,55,57,63,66,68,77,61,55,65,72,44,42,50,52,52,57,58,64,66,69,72,68,57,61,70,71,64,66,73,,65,49,53,61,61,68,62,63,70,71,48,56,61,63,66,75,48,46,47,51,53,57,55,60,63,68,67,74,73,55,53
